CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Unnati,2019,Noida,"Amit Sinha, Ashok Prasad","Incofin, NabVentures, Orios",,Noida,FinTech,Fintech powered digital agri ecosystem,7000000.0,Series A
Lysto,2021,Bangalore,Sadiq Ahamed,BEENEXT,,Bangalore,NFT,"Lysto is building APIs, Tools & Infrastructure to enable the creation & distribution of NFTs across platforms with a few clicks or few lines of code.",3000000.0,Seed
Wakefit,2014,Bangalore,"Ankit Garg, Chaitanya Ramalingegowda",SIG,,Bangalore,Furniture,"A home solutions and sleep company, currently collaborating with the world's biggest sleep influencer.",20000000.0,Series C
Buyofuel,2020,Coimbatore,"Kishan Karunakaran, Venkateswaran Selvan, Sumanth Kumar",Inflection Point Ventures,,Coimbatore,Oil & Energy,Green Fuels Marketplace,100000.0,Seed
ElectricPe,2021,Bangalore,"Avinash Sharma, Raghav Rohila","Blume Ventures, Micelio Fund",,Bangalore,EV,India's largest Electric Vehicle Charging Platform,3000000.0,Seed
Vayana Network,2017,Pune,Ramaswamy Iyer,"CDC Group, Jungle Ventures, March Capital, Marshall Wace",,Pune,Financial Services,"Vayana Network is an electronic network that connects Corporates and their Supply Chain to Financial Institutions for easy, quick and low-cost access to Trade Financing of their Payables and Receivables.",30000000.0,Series C
Valuationary,2020,Surat,"Pratik Bajaj, Kunal Shah, Mahip Gupta","Ashish Jain, Ajay Surana",,Surat,E-learning,EdTech platform upskilling candidates to bag deserving finance job roles.,100000.0,Pre-seed
EyeMyEye,2021,Gurugram,Ganesh Iyer,2000000,,Gurugram,Eyewear,"Shop the latest Eyeglasses, Sunglasses, Power Sunglasses, Contact Lens and more.",2000000.0,Pre-series A
DGV,2019,Bangalore,Ragavan Venkatesan,"Info Edge Ventures, Omnivore",,Bangalore,Information Technology & Services,NeoBanking for Bharat,3000000.0,Pre-series A
GuardianLink,2017,Chennai,"Ramkumar Subramaniam, Kamesh Elangovan",Kalaari Capital,,Chennai,Information Technology & Services,Building tech infrastructure to help NFT commerce go mainstream,12000000.0,Series A
