funding_year,company_name,founded_year,headquarters_city,headquarters_state,industry,about_company,founders,investor,amount_usd,funding_round
2018,Biryani By Kilo,,Noida,Uttar Pradesh,"Catering, Food and Beverage, Food Delivery, Food Processing",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,,,1000000.0,Seed
2018,BizCrum Infotech Pvt. Ltd.,,Delhi,Delhi,"B2B, Shoes",Building Transactionary B2B Marketplaces,,,,Seed
2018,Blackbuck,,Bangalore,Karnataka,"Information Services, Internet, Logistics, Supply Chain Management, Transportation",Blackbuck is a logistics startup based in India.,,,24355200.0,Series D
2018,BlueJack,,Delhi,Delhi,Autonomous Vehicles,Delhi-based online used vehicles marketplace.,,,768000.0,Seed
2018,Blueleaf Cyberspace Systems,,Bangalore,Karnataka,"Internet, Software",Bluleaf Cyberspace is Cloud Based Software Company.,,,,Seed
2018,Bombay Shaving Company,,New Delhi,Delhi,"Consumer Goods, Lifestyle, Men's",Bombay Shaving Company is a Men's grooming startup,,,,Series A
2018,Bon(Bonfleet Solutions),,Pune,Maharashtra,"Financial Services, FinTech","Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",,,936000.0,Seed
2018,Bonphul Air Products,,Delhi,Delhi,CleanTech,A clean tech product Company,,,240000.0,Angel
2018,Boodmo,,Gurugram,Haryana,"Automotive, Retail",boodmo.com - large online marketplace for auto parts in India.,,,840000.0,Seed
2018,Bounce (Metro Bikes),,Bangalore,Karnataka,"Autonomous Vehicles, Last Mile Transportation, Recreational Vehicles, Rental","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",,,3000000.0,Debt Financing
2018,Buddy4Study.com,,Noida,Uttar Pradesh,"Career Planning, Education, Higher Education, Service Industry",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,,,3000000.0,Series A
2018,BuildSupply,,Gurugram,Haryana,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Indiaâs most advanced ERP system for the real estate,,,3000000.0,Series A
2018,BuyForexOnline,,Bangalore,Karnataka,Travel,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,,,2000000.0,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593
2018,CLP India Pvt. Ltd.,,Mumbai,Maharashtra,"Energy, Natural Resources",CLP India Pvt. Ltd. is a foreign investor in the Indian power sector.,,,365000000.0,Private Equity
2018,Carcrew,,Mumbai,Maharashtra,"Automotive, Marketplace, Online Portals",India's Online Auto Repair Marketplace,,,2000000.0,Seed
2018,Cardekho,,Gurugram,Haryana,"Automotive, E-Commerce, Information Services",Cardekho is a car search venture that helps users buy cars that are right for them.,,,75000000.0,Series C
2018,Career Anna,,Bangalore,Karnataka,"Commercial, E-Learning, Education",India's Go to Career Commerce Portal,,,480000.0,Seed
2018,Carmel Organics,,Indore,Madhya Pradesh,"Agriculture, AgTech, Manufacturing","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",,,,Series A
2018,Carmesi,,Gurugram,Haryana,Health Care,Carmesi is a brand of high-end menstrual-hygiene products in India.,,,408000.0,Seed
2018,Cash Suvidha,,New Delhi,Delhi,Finance,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,,,1000000.0,Seed
2018,CashRich,,Mumbai,Maharashtra,"Apps, Financial Services, FinTech",A Mumbai-based fin-tech startup,,,1000000.0,Seed
2018,Cashkumar,,Bangalore,Karnataka,"Consumer Lending, Finance, FinTech",A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,,,600000.0,Seed
2018,Cell Propulsion,,Bangalore,Karnataka,â,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,,,84000.0,Seed
2018,Cellerite Systems,,Hyderabad,Andhra Pradesh,Electric Vehicle,Cellerite Systems is a charging solutions provider for electric vehicles.,,,,Seed
