Industry,Amount
MarTech,1000000.0
MLOps platform,1000000.0
Crowdsourcing,1000000.0
Content publishing,1000000.0
Interior design,1000000.0
Drone,1000000.0
Defense tech,1000000.0
LegalTech,1000000.0
Commerce,1000000.0
FMCG,1000000.0
Tourism,1000000.0
AR/VR startup,1000000.0
Gaming startup,1000000.0
Sales and Distribution,1000000.0
Celebrity Engagement,1000000.0
Co-working Startup,1000000.0
Soil-Tech,1000000.0
Recruitment startup,1000000.0
Skill development,1000000.0
Cloud Kitchen,1000000.0
Deep Tech,950000.0
WL & RAC protection,900000.0
Investment,887000.0
Medtech,850000.0
Rental,850000.0
Community,810000.0
Social platform,800000.0
AR startup,800000.0
Fitness,733333.3333333334
Marketing company,700000.0
Networking,620000.0
Translation & Localization,600000.0
Biotechnology company,600000.0
Textiles,570000.0
Preschool Daycare,507000.0
Agri tech,500000.0
Electronics,500000.0
Innovation management,500000.0
Aviation & Aerospace,500000.0
Co-working,500000.0
Fashion Tech,467000.0
Hauz Khas,461000.0
Retail startup,450000.0
Helathcare,400000.0
Sports startup,400000.0
Dairy,400000.0
Higher Education,400000.0
IoT,374000.0
Real estate,350000.0
Content Marktplace,306900.0
Business Supplies & Equipment,300000.0
Merchandise,300000.0
Healtcare,300000.0
B2B service,300000.0
TaaS startup,250000.0
Fertility tech,200000.0
Cannabis startup,200000.0
Marketing,200000.0
Job discovery platform,140000.0
Dating app,110000.0
FoodTech,100000.0
Interior & decor,100000.0
Milk startup,100000.0
Oil & Energy,100000.0
Advisory firm,
Arts & Crafts,
Battery,
Computer Games,
Consumer goods,
Content commerce,
D2C Fashion,
Environmental service,
Fashion and lifestyle,
IT company,
NFT Marketplace,
Rental space,
