CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
Wimoxez,2018,2018,True,Hyderabad,Internet,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Unknown,Unknown,20000.0,Seed
HappyEMI,2018,2018,True,Bengaluru,"Consumer, Financial Services, FinTech",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Unknown,Unknown,1000000.0,Seed
Hansel.io,2018,2018,True,Bengaluru,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Unknown,Unknown,4000000.0,Series A
Propelld,2018,2018,True,Bengaluru,"Education, Financial Services, FinTech",Propelld is a student education financing platform.,Unknown,Unknown,250000.0,Seed
ZiffyHomes,2018,2018,True,New Delhi,"Marketplace, Real Estate, Rental Property",ZiffyHomes is a technology driven marketplace to find out home on rent.,Unknown,Unknown,120000.0,Seed
Carmesi,2018,2018,True,Gurugram,Health Care,Carmesi is a brand of high-end menstrual-hygiene products in India.,Unknown,Unknown,408000.0,Seed
Racetrack,2018,2018,True,Bengaluru,"Artificial Intelligence, Cloud Computing, Video","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",Unknown,Unknown,4104000.0,Seed
WHR,2018,2018,True,Pune,"Health Care, Information Technology","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",Unknown,Unknown,143145.0,Seed
FabAlley,2018,2018,True,Noida,"E-Commerce, Fashion, Lifestyle","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",Unknown,Unknown,7200000.0,Series B
SBI Life,2018,2018,True,Mumbai,Insurance,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,Unknown,Unknown,742000000.0,Private Equity
Studds Accessories,2018,2018,True,Faridabad,E-Commerce,Studds Accessories is a scooter accessories service provider in India,Unknown,Unknown,12000000.0,Private Equity
Design Cafe,2018,2018,True,Bengaluru,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Unknown,Unknown,24000000.0,Series B
NoPaperForms Solutions Pvt. Ltd.,2018,2018,True,New Delhi,"EdTech, Education, Information Services, SaaS","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",Unknown,Unknown,3980000.0,Series B
Rays Power Infra,2018,2018,True,Jaipur,"Energy, Solar",Rays Power Infra is a leading integrated Solar Power Company.,Unknown,Unknown,24000000.0,Venture - Series Unknown
AuthMetrik,2018,2018,True,Gurugram,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security","SaaS, B2B, Security, Stop account sharing, Fraud Detection",Unknown,Unknown,10000.0,Grant
