Founded_scaled,RoundSeries_scaled,Head Quarter,Industry In,AboutCompany,Amount in ($)
0.11333737205766989,1.0777005986288872,12,14,Samunnati is a financial service provider focused on agri value chains.,20000000.0
0.6498225830584915,0.217622632959843,59,136,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",12000000.0
0.9180651885589024,-1.0724943155437234,,,,
1.1863077940593132,1.5077395814634094,10,268,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,2000000.0
0.6498225830584915,-0.6424553327092013,10,155,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,1300000.0
0.9180651885589024,-0.6424553327092013,,,,
1.1863077940593132,0.217622632959843,53,241,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,1100000.0
0.9180651885589024,-0.6424553327092013,35,222,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2900000.0
-0.4231478389431518,1.0777005986288872,2,124,The charioteer of your growth at all times.,2000000.0
0.11333737205766989,-0.21241634987467914,4,113,Mobile Premier League is the mobile e-Sports platform based in India.,90000000.0
-4.4467869214493145,0.6476616157943651,35,80,Onsitego is a customer service company for device and appliance repairs.,30000000.0
-0.15490523344274093,0.6476616157943651,56,268,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,3400000.0
0.6498225830584915,-1.5025332983782456,35,243,Servify is a self-learning platform that provides device management services and warranty solutions.,23000000.0
0.3815799775580807,0.217622632959843,4,249,ShareChat is a social networking and regional content platform.,40000000.0
0.11333737205766989,0.217622632959843,4,0,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,1500000.0
-0.15490523344274093,0.217622632959843,4,190,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace",8090000.0
-0.4231478389431518,-1.5025332983782456,23,167,FabHotels is a network of 3 star budget hotels in India,1030000.0
0.3815799775580807,-0.6424553327092013,37,268,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,5040000.0
-0.4231478389431518,-1.5025332983782456,35,8,Cub McPaws is a kids clothing brand.,800000.0
0.3815799775580807,0.217622632959843,22,147,Employee experience platform that empowers organizations to manage and retain great talent!,1500000.0
0.6498225830584915,-0.6424553327092013,22,154,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,8000000.0
-0.15490523344274093,2.3678175471324536,54,228,A service that promotes and facilitates the works of independent comic artists,1400000.0
-0.4231478389431518,1.0777005986288872,45,124,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,10000000.0
-0.4231478389431518,0.217622632959843,45,131,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,2000000.0
-7.3974555819538335,-0.6424553327092013,,,,
-0.4231478389431518,-0.21241634987467914,22,96,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,10000000.0
0.3815799775580807,-1.5025332983782456,4,106,Newton School is a platform to learn and develop skills,650000.0
0.6498225830584915,-1.5025332983782456,4,268,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge",12000000.0
0.3815799775580807,0.217622632959843,49,267,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",54000000.0
-0.4231478389431518,-1.5025332983782456,35,125,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",5000000.0
0.6498225830584915,0.6476616157943651,35,105,Toppr is an Indian educational technology and online tutoring firm,35000000.0
1.1863077940593132,-0.6424553327092013,35,50,Buy and Sell Used Cars,42500000.0
0.6498225830584915,-1.0724943155437234,35,107,Offers a high-end digital classroom system focused on enhancing the learning experience,28000000.0
0.3815799775580807,-0.21241634987467914,35,199,"Enables top OEMs & ODMs in device distribution, sales, warranty",11370000.0
-0.9596330499439735,-1.5025332983782456,,,,
-0.15490523344274093,0.6476616157943651,4,192,Can find all types of jobs from entry level to experienced people in over 60+ categories.,8000000.0
-0.4231478389431518,-1.5025332983782456,4,267,"Building a suite of digital publishing solutions to simplify content creation, distribution",325000.0
-0.15490523344274093,0.217622632959843,4,267,Order online and get free delivery from your nearby restaurants,28000000.0
0.3815799775580807,0.6476616157943651,4,3,Gain insights into human emotions with AI-powered platform affect lab.,8000000.0
-0.4231478389431518,-0.21241634987467914,4,163,Interior design marketplace that connects interior designers,9000000.0
0.9180651885589024,-0.6424553327092013,,,,
-0.15490523344274093,0.217622632959843,37,144,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,18000000.0
-0.9596330499439735,0.6476616157943651,4,258,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,5000000.0
-0.15490523344274093,-0.6424553327092013,35,288,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,900000.0
-1.4961182609447952,0.6476616157943651,4,13,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,2000000.0
0.3815799775580807,-0.21241634987467914,26,241,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.",500000.0
-0.4231478389431518,-1.5025332983782456,4,164,Explore 1000's of fully customizable home interior designs.,8000000.0
0.9180651885589024,-0.6424553327092013,35,119,Buy Makeup kit & Cosmetics Products from international makeup brand,1000000.0
-0.15490523344274093,0.6476616157943651,37,125,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,682000.0
-0.4231478389431518,0.6476616157943651,12,106,Flintobox is an India-based company that produces educational activity boxes for children,7000000.0
