CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
Licious,2018,2018,True,Bengaluru,"Delivery Service, Food and Beverage, Food Delivery","Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",Unknown,Unknown,25000000.0,Series C
Sequretek,2018,2018,True,Mumbai,—,Sequretek is a cyber security start-up.,Unknown,Unknown,3700000.0,Venture - Series Unknown
Parkwheels,2018,2018,True,Haryana,"Industrial, Industrial Automation","Parkwheels aims at solving the big, bad & unsexy parking problems of India.",Unknown,Unknown,144000.0,Seed
Cyclops Medtech,2018,2018,True,Bengaluru,"Health Care, Health Diagnostics, Internet of Things, Life Science, Machine Learning, Medical, Medical Device",Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,Unknown,Unknown,1000000.0,Seed
Ruangguru,2014,2019,False,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000.0,Series C
Eduisfun,2019,2019,True,Mumbai,Edtech,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding
Lenskart,2010,2019,False,New Delhi,E-commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000.0,Series G
Appnomic,2019,2019,True,Bengaluru,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000.0,Unknown
JobSquare,2019,2019,False,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500.0,Unknown
Witblox,2014,2019,False,Unknown,Edtech,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700.0,Unknown
SalaryFits,2015,2019,False,Unknown,Fintech,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,Unknown
Toffee Insurance,2017,2019,False,Haryana,Insurance technology,Provides variety of insurance plans and policies,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000.0,Series A
Bijak,2019,2019,False,Unknown,AgriTech,B2B platform for agricultural commodities.,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Seed fund
Licious,2019,2019,True,Bengaluru,Food,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000.0,Series E
truMe,2019,2019,True,Unknown,IoT,A global platform for Identity and Access Management,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,140000.0,Unknown
Asteria Aerospace,2011,2019,False,Bengaluru,Robotics & AI,"Develops drones that are used by the military, paramilitary, police forces and in various industries.","Neel Mehta, Nihar Vartak",Reliance Industries,230000000.0,Unknown
Zetwerk,2018,2019,False,Bengaluru,Manufacturing,Provides facilities to get products manufactured.,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B
